id,lat,long,sector,geometry
6061WGSSLN18WFU,41.887079,-87.672943,Beverages,POINT (-87.672943 41.887079)
6062WGLBLM2825W,41.83684,-87.69619,Nonmetallic Mineral Product,POINT (-87.69619 41.83684)
60623CHCGS1846S,41.855126,-87.737691,Fabricated Metals,POINT (-87.737691 41.855126)
60609MNLYL4435S,41.810058,-87.681026,Electrical Equipment,POINT (-87.681026 41.810058)
60651LLDMT4528W,41.903133,-87.739426,Primary Metals,POINT (-87.73942599999999 41.903133)
60626SCLCT6601N,42.00231,-87.67662,Electrical Equipment,POINT (-87.67662 42.00231)
60624CLRCM4242W,41.86791,-87.73131,Paper,POINT (-87.73130999999999 41.86791)
60607NBRTP340NO,41.887629,-87.667374,Fabricated Metals,POINT (-87.667374 41.887629)
60609CDPRD6W41S,41.820978,-87.641595,Chemical Wholesalers,POINT (-87.641595 41.820978)
60633FRDMT12600,41.663722,-87.561409,Transportation Equipment,POINT (-87.561409 41.663722)
60607RLBLP1538W,41.885676,-87.66606,Fabricated Metals,POINT (-87.66606 41.885676)
60622SPMTL1720E,41.913364,-87.664551,Primary Metals,POINT (-87.664551 41.913364)
60608NGNRD929WE,41.818689,-87.649611,Nonmetallic Mineral Product,POINT (-87.64961099999999 41.818689)
60620WBCXX8400S,41.741819,-87.634573,Transportation Equipment,POINT (-87.634573 41.741819)
60629KTLCD4099W,41.763491,-87.723679,Chemicals,POINT (-87.723679 41.763491)
60608LSTMR2448W,41.848658,-87.687122,Plastics and Rubber,POINT (-87.687122 41.848658)
60632LMCST3421W,41.80562,-87.7097,Chemicals,POINT (-87.7097 41.80562)
60651NBRTP1445N,41.907406,-87.726075,Fabricated Metals,POINT (-87.72607499999999 41.907406)
60623BLLCT2001S,41.853901,-87.736397,Fabricated Metals,POINT (-87.736397 41.853901)
60651CHRMM4645W,41.894743,-87.742859,Fabricated Metals,POINT (-87.742859 41.894743)
60639TMTCS4940W,41.91322,-87.75075,Fabricated Metals,POINT (-87.75075 41.91322)
60628MSRYC1140E,41.70762,-87.59509,Chemicals,POINT (-87.59509 41.70762)
60629NBSCB7300S,41.75943,-87.70475,Food,POINT (-87.70475 41.75943)
60610WTRSV701WE,41.89338,-87.64637,Fabricated Metals,POINT (-87.64637 41.89338)
60623CNTRL3200S,41.834714,-87.73812,Fabricated Metals,POINT (-87.73812 41.834714)
60610NTYMF1260N,41.90492,-87.64198,Transportation Equipment,POINT (-87.64198 41.90492)
60624CHCGN4112W,41.885998,-87.728912,Fabricated Metals,POINT (-87.72891199999999 41.885998)
